,c,h,l,o,s,t,v
0,58.82,59.64,58.56,58.72,ok,2015-04-13 13:30:00,920100
1,57.62,59.6,57.26,59.44,ok,2015-04-14 13:30:00,1253200
2,56.77,58.0,56.59,57.94,ok,2015-04-15 13:30:00,1839500
3,56.11,56.99,56.05,56.78,ok,2015-04-16 13:30:00,1237100
4,55.28,55.99,54.8,55.92,ok,2015-04-17 13:30:00,2170800
5,56.49,56.82,55.46,55.67,ok,2015-04-20 13:30:00,1239500
6,56.53,57.19,56.28,56.8,ok,2015-04-21 13:30:00,1114400
7,56.79,56.93,56.2,56.54,ok,2015-04-22 13:30:00,915100
8,56.84,57.43,56.4,56.96,ok,2015-04-23 13:30:00,958300
9,56.59,57.38,56.55,57.1,ok,2015-04-24 13:30:00,545100
10,56.28,57.04,56.26,56.84,ok,2015-04-27 13:30:00,950400
11,55.79,56.3,55.37,56.11,ok,2015-04-28 13:30:00,686000
12,54.88,55.73,54.41,55.58,ok,2015-04-29 13:30:00,670300
13,54.26,55.3,53.92,54.7,ok,2015-04-30 13:30:00,1020800
14,55.28,55.56,54.25,54.46,ok,2015-05-01 13:30:00,719300
15,55.41,55.75,55.24,55.37,ok,2015-05-04 13:30:00,670400
16,54.81,55.77,54.59,55.58,ok,2015-05-05 13:30:00,892300
17,54.34,55.1,54.19,54.93,ok,2015-05-06 13:30:00,952900
18,55.35,55.89,54.92,54.92,ok,2015-05-07 13:30:00,1040100
19,55.62,56.54,55.61,55.91,ok,2015-05-08 13:30:00,608800
20,55.99,56.32,55.45,55.54,ok,2015-05-11 13:30:00,599700
21,55.61,55.85,54.66,55.54,ok,2015-05-12 13:30:00,589300
22,55.93,56.94,55.52,56.2,ok,2015-05-13 13:30:00,958300
23,55.66,56.03,55.2,55.94,ok,2015-05-14 13:30:00,812900
24,55.99,56.32,55.63,55.73,ok,2015-05-15 13:30:00,948100
25,56.29,56.81,55.94,56.18,ok,2015-05-18 13:30:00,1740700
26,53.43,55.2,52.06,53.78,ok,2015-05-19 13:30:00,4991400
27,53.56,53.96,52.95,53.6,ok,2015-05-20 13:30:00,1731500
28,54.02,54.25,52.85,53.5,ok,2015-05-21 13:30:00,1014100
29,54.19,54.37,53.66,53.94,ok,2015-05-22 13:30:00,867200
